ID,Time,Summary,Event_team,Opponent,Side,playerno,Player,Player2,Shot_place,Shot_outcome,is_goal,Location,Body_Part,assist_method,Situation,fastbreak,x,y,,,,,,,,,,,,,
4,72:02:00,"K. Calderon, left side at a difficult angle, off target, high and wide, left foot, open play, not a fast break, no goal",St. Katherine,Occidental,2,0,K. Calderon,,6,2,0,7,2,0,1,0,2,2,,,,,,,,,,,,,
4,73:20:00,"Tyler Wray, right wing, off target, high and wide, right foot, open play, not a fast break, no goal",Occidental,St. Katherine,1,17,Tyler Wray,,6,2,0,5,1,0,1,0,23,6,,,,,,,,,,,,,
4,79:05:00,"Marcus Blumenfeld, right side of the box, wide to the left of the goal, right foot, open play, fast break, no goal",Occidental,St. Katherine,1,9,Marcus Blumenfeld,,8,2,0,11,1,0,1,1,18,5,,,,,,,,,,,,,
4,82:12:00,"Tyler Wray, Jake Foster, center of the box, top center of the goal, right foot, open play, not a fast break, goal, cross",Occidental,St. Katherine,1,17,Tyler Wray,Jake Foster,11,1,1,3,1,2,1,0,12,7,,,,,,,,,,,,,
4,83:43:00,"Marcus Blumenfeld, Tyler Wray, right side of the box, top center of the goal, right foot, open play, fast break, goal, pass",Occidental,St. Katherine,1,9,Marcus Blumenfeld,Tyler Wray,11,1,1,11,1,1,1,1,18,5,,,,,,,,,,,,,
4,85:17:00,"Neython Streitz, Tyler Wray, center of the box, off target, to the right of the goal, right foot, open play, not a fast break, no goal, pass",Occidental,St. Katherine,1,25,Neython Streitz,Tyler Wray,9,2,0,3,1,1,1,0,12,7,,,,,,,,,,,,,
4,86:44:00,"Guillermo Purchese, outside the box, off target, high and wide, right foot, open play, not a fast break, no goal",Occidental,St. Katherine,1,100,Guillermo Purchese,,9,2,0,15,1,1,1,0,13,10,,,,,,,,,,,,,
4,88:32:00,"Guillermo Purchese, center of the box, on target, center of the goal, right foot, open play, not a fast break, no goal",Occidental,St. Katherine,1,100,Guillermo Purchese,,5,1,0,3,1,0,1,0,12,7,,,,,,,,,,,,,
5,8:15,"Adrian Paredes, 25-yds+, on target, center of the goal, right foot, open play, not a fast break, no goal",Occidental,George Fox,1,14,Adrian Paredes,,5,1,0,17,1,0,1,0,13,17,,,,,,,,,,,,,
5,14:36,"Adrian Paredes, Mattew Teplitz left side of the box at a difficult angle, off target, too high, head, set piece, not a fast break, no goal, cross",Occidental,George Fox,1,14,Adrian Paredes,Matthew Teplitz,10,2,0,7,3,2,2,0,2,2,,,,,,,,,,,,,
